Name,Date,Transecto,Ponto,Aux3,Aux4,Aux5,Row,Column,Label
I1_TR1_10.JPG,2023-11-21,1,I1,,,,122,195,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,178,443,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,46,782,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,21,619,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,150,813,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,237,1131,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,133,1295,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,338,941,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,448,1212,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,654,147,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,539,278,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,584,447,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,590,757,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,655,711,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,681,848,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,671,899,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,751,1323,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1003,11,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1004,631,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,983,635,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,937,773,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,893,541,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,798,956,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1197,515,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1110,762,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1215,607,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1137,890,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1174,994,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1295,1232,O
I1_TR1_10.JPG,2023-11-21,1,I1,,,,1191,1301,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,230,116,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,251,602,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,54,895,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,356,1390,Sarcoth
I1_TR1_1.JPG,2023-11-21,1,I1,,,,59,1307,Sarcoth
I1_TR1_1.JPG,2023-11-21,1,I1,,,,75,1470,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,4,1821,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,91,1833,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,791,317,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,494,332,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,524,698,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,649,767,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,407,1143,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,764,1292,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,600,2086,Sarcoth
I1_TR1_1.JPG,2023-11-21,1,I1,,,,946,1531,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1103,1662,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,833,1388,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1061,1301,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,822,1919,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1187,1762,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1490,137,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1223,71,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1413,497,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1902,205,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1927,104,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1720,847,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1896,912,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1661,976,O
I1_TR1_1.JPG,2023-11-21,1,I1,,,,1938,1725,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,106,99,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,152,559,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,233,1254,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,53,1105,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,242,1196,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,281,66,Sarcoth
I1_TR1_2.JPG,2023-11-21,1,I1,,,,285,522,Sarcoth
I1_TR1_2.JPG,2023-11-21,1,I1,,,,512,803,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,424,874,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,290,873,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,336,1282,Sarcoth
I1_TR1_2.JPG,2023-11-21,1,I1,,,,314,1360,Sarcoth
I1_TR1_2.JPG,2023-11-21,1,I1,,,,369,1171,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,760,348,O
I1_TR1_2.JPG,2023-11-21,1,I1,,,,657,391,O
