,Name,Transecto,Ponto,cobertura de Sarcothelia %
168,NI1_TR4_5.JPG,4.0,NI1,0.0
169,NI1_TR4_6.JPG,4.0,NI1,0.0
170,NI1_TR4_7.JPG,4.0,NI1,0.0
171,NI1_TR4_8.JPG,4.0,NI1,0.0
172,NI1_TR4_9.JPG,4.0,NI1,0.0
173,NI2_TR1_1,1.0,NI2,0.0
174,NI2_TR1_10,1.0,NI2,3.3333333333333335
176,NI2_TR1_2,1.0,NI2,0.0
177,NI2_TR1_3,1.0,NI2,3.3333333333333335
179,NI2_TR1_4,1.0,NI2,0.0
180,NI2_TR1_5,1.0,NI2,0.0
181,NI2_TR1_6,1.0,NI2,0.0
182,NI2_TR1_7,1.0,NI2,0.0
183,NI2_TR1_8,1.0,NI2,13.333333333333334
185,NI2_TR1_9,1.0,NI2,3.3333333333333335
187,NI2_TR2_1,2.0,NI2,0.0
188,NI2_TR2_10,2.0,NI2,10.0
190,NI2_TR2_2,2.0,NI2,0.0
191,NI2_TR2_3,2.0,NI2,0.0
192,NI2_TR2_4,2.0,NI2,0.0
193,NI2_TR2_5,2.0,NI2,0.0
194,NI2_TR2_6,2.0,NI2,0.0
195,NI2_TR2_7,2.0,NI2,3.3333333333333335
197,NI2_TR2_8,2.0,NI2,3.3333333333333335
199,NI2_TR2_9,2.0,NI2,20.0
201,NI2_TR3_1,3.0,NI2,0.0
202,NI2_TR3_10,3.0,NI2,3.3333333333333335
204,NI2_TR3_2,3.0,NI2,6.666666666666667
206,NI2_TR3_3,3.0,NI2,3.3333333333333335
208,NI2_TR3_4,3.0,NI2,26.666666666666668
210,NI2_TR3_5,3.0,NI2,13.333333333333334
212,NI2_TR3_6,3.0,NI2,0.0
213,NI2_TR3_7,3.0,NI2,3.3333333333333335
215,NI2_TR3_8,3.0,NI2,3.3333333333333335
217,NI2_TR3_9,3.0,NI2,13.333333333333334
219,NI2_TR4_1,4.0,NI2,6.666666666666667
222,NI2_TR4_10,4.0,NI2,50.0
223,NI2_TR4_2,4.0,NI2,6.666666666666667
225,NI2_TR4_3,4.0,NI2,0.0
226,NI2_TR4_4,4.0,NI2,10.0
228,NI2_TR4_5,4.0,NI2,6.666666666666667
230,NI2_TR4_6,4.0,NI2,0.0
231,NI2_TR4_7,4.0,NI2,10.0
233,NI2_TR4_8,4.0,NI2,10.0
235,NI2_TR4_9,4.0,NI2,23.333333333333332
